date,direction,visibility,arrows_code
201912090820,315,3800,00000000011111111111
201912091050,0,3800,00000001111111111
201912091050,45,8900,01111111111111111111
201912091050,90,16700,0011111111111111111
201912091050,135,6800,11111111
201912091050,180,15800,110111111111111
201912091050,225,4500,001011111
201912091050,270,10400,11111111111111111111111
201912091050,315,3800,00000000011111111111
201912091120,0,3800,00000001111111111
201912091120,45,8900,01111111111111111111
201912091120,90,16700,0011111111111111111
201912091120,135,6800,11111111
201912091120,180,15800,111111111111111
201912091120,225,7900,111111111
201912091120,270,10400,11111111111111111111111
201912091120,315,3800,00000000011111111111
201912100920,0,3800,00000001111111111
201912100920,45,6300,00111111111111111111
201912100920,90,5500,0000111111111111111
201912100920,135,6800,10111111
201912100920,180,15800,111111111111111
201912100920,225,7900,111111111
201912100920,270,2400,00000111111111111111111
201912100920,315,3800,00000000011111111111
201912101050,0,3800,00000001111111111
201912101050,45,8900,01111111111111111111
201912101050,90,16700,0011111111111111111
201912101050,135,3500,00111111
201912101050,180,5900,010101111111111
201912101050,225,4500,001011111
201912101050,270,10400,11111111111111111111111
201912101050,315,3800,00000000011111111111
201912101120,0,3800,00000001111111111
201912101120,45,6300,00111111111111111111
201912101120,90,22600,0111111111111111111
201912101120,135,6800,11111111
201912101120,180,5900,011111111111111
201912101120,225,7900,111111111
201912101120,270,10400,11111111111111111111111
201912101120,315,3800,00000000011111111111
201912101150,0,3800,00000001111111111
201912101150,45,8900,01111111111111111111
201912101150,90,16700,0011111111111111111
201912101150,135,6800,10111111
201912101150,180,15800,111111111111111
201912101150,225,7900,111111111
201912101150,270,10400,11111111111111111111111
201912101150,315,7600,00000001011111111111
201912101520,0,19500,11101111111111111
201912101520,45,30700,11111111111111111111
201912101520,90,28100,1111111111111111111
201912101520,135,6800,11111111
201912101520,180,15800,111111111111111
201912101520,225,7900,111111111
201912101520,270,10400,11111111111111111111111
201912101520,315,20900,11111111111111111111
201912110720,0,19500,10000111111111111
201912110720,45,30700,11111111111111111111
201912110720,90,28100,1111111111111111111
201912110720,135,6800,11111111
201912110720,180,15800,111111111111111
201912110720,225,7900,111111111
201912110720,270,10400,11111111111111111111111
201912110720,315,10500,00000111111111111111
201912110820,0,19500,11000111111111111
201912110820,45,30700,11111111111111111111
201912110820,90,28100,1111111111111111111
201912110820,135,6800,11111111
201912110820,180,15800,111111111111111
201912110820,225,7900,111111111
201912110820,270,10400,11111111111111111111111
201912110820,315,10500,00000111111111111111
201912110920,0,19500,10000111111111111
201912110920,45,30700,11111111111111111111
201912110920,90,28100,1111111111111111111
201912110920,135,6800,11111111
201912110920,180,15800,111111111111111
201912110920,225,7900,111111111
201912110920,270,10400,11111111111111111111111
201912110920,315,10500,00000111111111111111
201912120850,0,19500,11010111111111111
201912120850,45,30700,11111111111111111111
201912120850,90,22600,0111111111111111111
201912120850,135,6800,11111111
201912120850,180,15800,111111111111111
201912120850,225,7900,111111111
201912120850,270,10400,11111111111111111111111
201912120850,315,17500,01000111111111111111
201912120950,0,18000,01010111111111111
201912120950,45,8900,01111111111111111111
201912120950,90,22600,0111111111111111111
201912120950,135,6800,11111111
201912120950,180,5900,011111111111111
201912120950,225,7900,111111111
201912120950,270,10400,11111111111111111111111
201912120950,315,17500,01000111111111111111
201912121050,0,19500,11010111111111111
201912121050,45,8900,01111111111111111111
201912121050,90,22600,0111111111111111111
201912121050,135,6800,11111111
201912121050,180,15800,111111111111111
201912121050,225,7900,111111111
201912121050,270,10400,11111111111111111111111
201912121050,315,17500,01000111111111111111
201912120920,0,19500,11010111111111111
201912120920,45,8900,01111111111111111111
201912120920,90,16700,0011111111111111111
201912120920,135,6800,11111111
201912120920,180,5900,011111111111111
201912120920,225,7900,111111111
201912120920,270,10400,11111111111111111111111
201912120920,315,17500,01000111111111111111
201912121120,0,19500,11010111111111111
201912121120,45,8900,01111111111111111111
201912121120,90,28100,1111111111111111111
201912121120,135,6800,11111111
201912121120,180,15800,111111111111111
201912121120,225,7900,111111111
201912121120,270,10400,11111111111111111111111
201912121120,315,17500,01000111111111111111
201912121150,0,19500,11011111111111111
201912121150,45,8900,01111111111111111111
201912121150,90,28100,1111111111111111111
201912121150,135,6800,11111111
201912121150,180,15800,111111111111111
201912121150,225,7900,111111111
201912121150,270,10400,11111111111111111111111
201912121150,315,17500,01101111111111111111
201912121250,0,13400,00010111111111111
201912121250,45,8900,01111111111111111111
201912121250,90,28100,1111111111111111111
201912121250,135,6800,11111111
201912121250,180,15800,111111111111111
201912121250,225,7900,111111111
201912121250,270,10400,11111111111111111111111
201912121250,315,17500,01000111111111111111
201912121320,0,13400,00010111111111111
201912121320,45,8900,01111111111111111111
201912121320,90,22600,0111111111111111111
201912121320,135,6800,11111111
201912121320,180,15800,111111111111111
201912121320,225,7900,111111111
201912121320,270,10400,11111111111111111111111
201912121320,315,17500,01000111111111111111
201912170950,0,19500,11111111111111111
201912170950,45,30700,11111111111111111111
201912170950,90,28100,1111111111111111111
201912170950,135,6800,11111111
201912170950,180,15800,111111111111111
201912170950,225,7900,111111111
201912170950,270,10400,11111111111111111111111
201912170950,315,20900,11111111111111111111
201912171320,0,19500,11111111111111111
201912171320,45,30700,11111111111111111111
201912171320,90,22600,0111111111111111111
201912171320,135,6800,11111111
201912171320,180,15800,111111111111111
201912171320,225,7900,111111111
201912171320,270,10400,11111111111111111111111
201912171320,315,20900,11111111111111111111
201912171520,0,19500,11111111111111111
201912171520,45,30700,11111111111111111111
201912171520,90,28100,1111111111111111111
201912171520,135,6800,11111111
201912171520,180,15800,111111111111111
201912171520,225,7900,111111111
201912171520,270,10400,11111111111111111111111
201912171520,315,20900,11111111111111111111
201912180820,0,19500,11111111111111111
201912180820,45,30700,11111111111111111111
201912180820,90,28100,1111111111111111111
201912180820,135,6800,11111111
201912180820,180,15800,111111111111111
201912180820,225,7900,111111111
201912180820,270,10400,11111111111111111111111
201912180820,315,20900,11111111111111111111
201912180850,0,19500,11111111111111111
201912180850,45,30700,11111111111111111111
201912180850,90,28100,1111111111111111111
201912180850,135,6800,11111111
201912180850,180,15800,111111111111111
201912180850,225,7900,111111111
201912180850,270,10400,11111111111111111111111
201912180850,315,20900,11111111111111111111
201912181150,0,19500,11111111111111111
201912181150,45,30700,11111111111111111111
201912181150,90,28100,1111111111111111111
201912181150,135,6800,11111111
201912181150,180,15800,111111111111111
201912181150,225,7900,111111111
201912181150,270,10400,11111111111111111111111
201912181150,315,20900,11111111111111111111
201912181250,0,19500,11111111111111111
201912181250,45,30700,11111111111111111111
201912181250,90,28100,1111111111111111111
201912181250,135,6800,11111111
201912181250,180,15800,111111111111111
201912181250,225,7900,111111111
201912181250,270,10400,11111111111111111111111
201912181250,315,20900,11111111111111111111
201912181350,0,19500,11111111111111111
201912181350,45,30700,11111111111111111111
201912181350,90,28100,1111111111111111111
201912181350,135,6800,11111111
201912181350,180,15800,111111111111111
201912181350,225,7900,111111111
201912181350,270,10400,11111111111111111111111
201912181350,315,20900,11111111111111111111
201912181520,0,19500,11111111111111111
201912181520,45,30700,11111111111111111111
201912181520,90,28100,1111111111111111111
201912181520,135,6800,11111111
201912181520,180,15800,111111111111111
201912181520,225,7900,111111111
201912181520,270,10400,11111111111111111111111
201912181520,315,20900,11111111111111111111
201912061420,0,19500,11111111111111111
201912061420,45,30700,11111111111111111111
201912061420,90,28100,1111111111111111111
201912061420,135,6800,11111111
201912061420,180,15800,111111111111111
201912061420,225,7900,111111111
201912061420,270,10400,11111111111111111111111
201912061420,315,20900,11111111111111111111
201912061450,0,19500,11111111111111111
201912061450,45,30700,11111111111111111111
201912061450,90,28100,1111111111111111111
201912061450,135,6800,11111111
201912061450,180,15800,111111111111111
201912061450,225,7900,111111111
201912061450,270,10400,11111111111111111111111
201912061450,315,20900,11111111111111111111
201912070720,0,660,00000000001111111
201912070720,45,1900,00011111111111111111
201912070720,90,2900,0000001001111111111
201912070720,135,1300,00001111
201912070720,180,1700,000001111111111
201912070720,225,500,000000111
201912070720,270,1900,00000011111111111111111
201912070720,315,1067,00000000000011111111
201912070750,0,2100,00000000111111111
201912070750,45,1900,00011111111111111111
201912070750,90,3300,0000011111111111111
201912070750,135,4200,01111111
201912070750,180,4700,000101111111111
201912070750,225,2900,000001111
201912070750,270,2400,00000111111111111111111
201912070750,315,2000,00000000001111111111
201912190820,0,0,00000000000000000
201912190820,45,35,00000000000000000001
201912190820,90,71,0000000000000000001
201912190820,135,0,00000000
201912190820,180,75,000000000000001
201912190820,225,70,000000001
201912190820,270,70,00000000000000000000101
201912190820,315,0,00000000000000000000
201912121350,0,13400,00010111111111111
201912121350,45,8900,01111111111111111111
201912121350,90,28100,1111111111111111111
201912121350,135,6800,11111111
201912121350,180,5900,011111111111111
201912121350,225,7900,111111111
201912121350,270,10400,11111111111111111111111
201912121350,315,17500,01000111111111111111
201912121420,0,18000,01000111111111111
201912121420,45,8900,01111111111111111111
201912121420,90,28100,1111111111111111111
201912121420,135,6800,11111111
201912121420,180,15800,111111111111111
201912121420,225,7900,111111111
201912121420,270,10400,11111111111111111111111
201912121420,315,17500,01000111111111111111
201912121450,0,18000,01010111111111111
201912121450,45,8900,01111111111111111111
201912121450,90,7800,0001111111111111111
201912121450,135,6800,11111111
201912121450,180,15800,111111111111111
201912121450,225,7900,111111111
201912121450,270,10400,11111111111111111111111
201912121450,315,17500,01000111111111111111
201912190750,0,0,00000000000000000
201912190750,45,35,00000000000000000001
201912190750,90,104,0000000000000000011
201912190750,135,0,00000000
201912190750,180,75,000000000000001
201912190750,225,70,000000001
201912190750,270,70,00000000000000000000101
201912190750,315,110,00000000000000000001
201912130820,0,3800,00000001111111111
201912130820,45,1900,00011111111111111111
201912130820,90,2900,0000001111111111111
201912130820,135,3500,00111111
201912130820,180,1700,000001111111111
201912130820,225,500,000000111
201912130820,270,2400,00000111111111111111111
201912130820,315,3800,00000000011111111111
201912201020,0,19500,11010111111111111
201912201020,45,30700,11111111111111111111
201912201020,90,28100,1111111111111111111
201912201020,135,6800,11111111
201912201020,180,15800,111111111111111
201912201020,225,7900,111111111
201912201020,270,10400,11111111111111111111111
201912201020,315,17500,01000111111111111111
201912201050,0,19500,11010111111111111
201912201050,45,30700,11111111111111111111
201912201050,90,28100,1111111111111111111
201912201050,135,6800,11111111
201912201050,180,15800,111111111111111
201912201050,225,7900,111111111
201912201050,270,10400,11111111111111111111111
201912201050,315,17500,01000111111111111111
201912131020,0,3800,00000001111111111
201912131020,45,1900,00011111111111111111
201912131020,90,2900,0000001011111111111
201912131020,135,4200,01111111
201912131020,180,1700,000001111111111
201912131020,225,3800,000011111
201912131020,270,4600,00001111111111111111111
201912131020,315,3800,00000000011111111111
201912131050,0,3800,00000001111111111
201912131050,45,1900,00011111111111111111
201912131050,90,2900,0000001011111111111
201912131050,135,3500,00111111
201912131050,180,1700,000001111111111
201912131050,225,3800,000011111
201912131050,270,4600,00001111111111111111011
201912131050,315,20900,10001000011111111111
201912201150,0,19500,11010111111111111
201912201150,45,30700,11111111111111111111
201912201150,90,28100,1111111111111111111
201912201150,135,6800,11111111
201912201150,180,15800,111111111111111
201912201150,225,7900,111111111
201912201150,270,10400,11111111111111111111111
201912201150,315,17500,01000111111111111111
201912130920,0,3800,00000001111111111
201912130920,45,1900,00011111111111111111
201912130920,90,2300,0000000011111111111
201912130920,135,3500,00111111
201912130920,180,1700,000001111111111
201912130920,225,500,000000111
201912130920,270,4600,00001111111111111111111
201912130920,315,13200,00010000011111111111
201912201220,0,19500,11010111111111111
201912201220,45,30700,11111111111111111111
201912201220,90,28100,1111111111111111111
201912201220,135,6800,11111111
201912201220,180,15800,111111111111111
201912201220,225,7900,111111111
201912201220,270,10400,11111111111111111111111
201912201220,315,17500,01000111111111111111
201912131220,0,3800,00000001111111111
201912131220,45,8900,01111111111111111111
201912131220,90,7800,0001111111111111111
201912131220,135,6800,11111111
201912131220,180,5900,010111111111111
201912131220,225,4300,000111111
201912131220,270,10400,11111111111111111111111
201912131220,315,3800,00000000011111111111
201912131250,0,3800,00000001111111111
